"","id","name","steward","source","length","description","part_of"
"335",-1,"Chester Creek Trail","NPS","NPS",1.4,"TestDescription","Chester Creek Trail"
"336",-2,"Coastal Trail","NPS","NPS",1.4,"TestDescription","Coastal Trail"
"337",1048,"Russian Jack Spur","NPS","NPS",1.4,"TestDescription","Russian Jack Ski Trails"
"338",3626,"Upper Gasline Trail","NPS","NPS",1.4,"TestDescription",NA
"339",1234,"Tank Trail","NPS","NPS",1.4,"TestDescription",NA
"340",1236,"UAA Ski","NPS","NPS",1.4,"TestDescription",NA
"341",1153,"Chester Creek Trail","NPS","NPS",1.4,"TestDescription","Chester Creek Trail"
"342",1079,"Russian Jack Spur","NPS","NPS",1.4,"TestDescription","Russian Jack Ski Trails"
"343",3963,"Beaver Pl. Trail","NPS","NPS",1.4,"TestDescription",NA
"344",534,"Tour Of Anchorage","NPS","NPS",1.4,"TestDescription","Tour of Anchorage"
"345",1023,"Beaver Pl. Trail","NPS","NPS",1.4,"TestDescription",NA
"346",1443,"Goose Lake Trail","NPS","NPS",1.4,"TestDescription",NA
"347",3722,"Upper Gasline Trail","NPS","NPS",1.4,"TestDescription","Hillside Ski Trails"
"348",2724,"Moose Ridge Loop","NPS","NPS",1.4,"TestDescription",NA
"349",2725,"2.1 Km Loop","NPS","NPS",1.4,"TestDescription",NA
"350",2726,"4.5km Loop","NPS","NPS",1.4,"TestDescription",NA
"351",2925,"2.5 Km Loop","NPS","NPS",1.4,"TestDescription",NA
"352",1619,"Mt. View Sch. Trail","NPS","NPS",1.4,"TestDescription",NA
"353",2928,"Mize Loop","NPS","NPS",1.4,"TestDescription","Kincaid Ski Trails"
"354",0,"The Hive","NPS","NPS",1.4,"TestDescription","Mt Bike Single Track"
"355",0,"The Hive","NPS","NPS",1.4,"TestDescription","Mt Bike Single Track"
"356",1081,"Tikishla Park Trail","NPS","NPS",1.4,"TestDescription",NA
"357",837,"Tank Trail","NPS","NPS",1.4,"TestDescription",NA
"358",-2,"Coastal Trail","NPS","NPS",1.4,"TestDescription","Coastal Trail"
"359",1101,"Tank Trail","NPS","NPS",1.4,"TestDescription",NA
"360",-2,"Coastal Trail","NPS","NPS",1.4,"TestDescription","Coastal Trail"
"361",3965,"Gruening Sch. Trail","NPS","NPS",1.4,"TestDescription",NA
"362",2932,"Tank Trail","NPS","NPS",1.4,"TestDescription",NA
"363",477,"Tank Trail","NPS","NPS",1.4,"TestDescription",NA
"364",-1,"Chester Creek Trail","NPS","NPS",1.4,"TestDescription","Chester Creek Trail"
"365",-1,"Chester Creek Trail","NPS","NPS",1.4,"TestDescription","Chester Creek Trail"
"366",1287,"Fish Creek","NPS","NPS",1.4,"TestDescription",NA
"367",1531,"Fish Creek","NPS","NPS",1.4,"TestDescription",NA
"368",-6,"Campbell Creek Trail","NPS","NPS",1.4,"TestDescription","Campbell Creek Trail"
"369",-5,"Glenn Hwy Trail","NPS","NPS",1.4,"TestDescription","Glenn Hwy Trail"
"370",-5,"Glenn Hwy Trail","NPS","NPS",1.4,"TestDescription","Glenn Hwy Trail"
"371",4559,"Dimond (South Side)","NPS","NPS",1.4,"TestDescription",NA
"372",356,"Tank Trail","NPS","NPS",1.4,"TestDescription",NA
"373",357,"Tank Trail","NPS","NPS",1.4,"TestDescription",NA
"374",359,"Tank Trail","NPS","NPS",1.4,"TestDescription",NA
"375",2864,"Campbell Creek Trail","NPS","NPS",1.4,"TestDescription","Campbell Creek Trail"
"376",3250,"Campbell Creek Trail","NPS","NPS",1.4,"TestDescription","Campbell Creek Trail"
"377",2282,"Rondy Cut Off Trail","NPS","NPS",1.4,"TestDescription",NA
"378",2294,"Homecoming/poleline","NPS","NPS",1.4,"TestDescription",NA
"379",2291,"Homecoming/poleline","NPS","NPS",1.4,"TestDescription",NA
"380",2087,"Old Three Mile Trail","NPS","NPS",1.4,"TestDescription",NA
"381",-6,"Campbell Creek Trail","NPS","NPS",1.4,"TestDescription","Campbell Creek Trail"
"382",-5,"Glenn Hwy Trail","NPS","NPS",1.4,"TestDescription","Glenn Hwy Trail"
"383",2110,"Campbell Creek Trail","NPS","NPS",1.4,"TestDescription","Campbell Creek Trail"
"384",3600,"Campbell Creek Trail","NPS","NPS",1.4,"TestDescription","Campbell Creek Trail"
"385",-2,"Coastal Trail","NPS","NPS",1.4,"TestDescription","Coastal Trail"
"386",-1,"Chester Creek Trail","NPS","NPS",1.4,"TestDescription","Chester Creek Trail"
"387",-1,"Chester Creek Trail","NPS","NPS",1.4,"TestDescription","Chester Creek Trail"
"388",1125,"Whaley Sch. Trail","NPS","NPS",1.4,"TestDescription",NA
"389",1138,"Tikishla Park Trail","NPS","NPS",1.4,"TestDescription",NA
"390",-1,"Chester Creek Trail","NPS","NPS",1.4,"TestDescription","Chester Creek Trail"
"391",-1,"Chester Creek Trail","NPS","NPS",1.4,"TestDescription","Chester Creek Trail"
"392",1144,"Tikishla Park Trail","NPS","NPS",1.4,"TestDescription",NA
"393",-1,"Chester Creek Trail","NPS","NPS",1.4,"TestDescription","Chester Creek Trail"
"394",-1,"Chester Creek Trail","NPS","NPS",1.4,"TestDescription","Chester Creek Trail"
"395",1147,"Tikishla Park Trail","NPS","NPS",1.4,"TestDescription",NA
"396",2176,"Rondy Cut Off Trail","NPS","NPS",1.4,"TestDescription",NA
"397",2177,"Shield's Trail","NPS","NPS",1.4,"TestDescription",NA
"398",3215,"Homestead Trail","NPS","NPS",1.4,"TestDescription","Tour of Anchorage"
"399",1251,"Fish Creek","NPS","NPS",1.4,"TestDescription",NA
"400",1574,"Fish Creek","NPS","NPS",1.4,"TestDescription",NA
"401",3221,"Four Corners Connector Loop","NPS","NPS",1.4,"TestDescription","Kincaid Ski Trails"
"402",3222,"Big Dipper","NPS","NPS",1.4,"TestDescription","Kincaid Ski Trails"
"403",1152,"Tikishla Park Trail","NPS","NPS",1.4,"TestDescription",NA
"404",-1,"Chester Creek Trail","NPS","NPS",1.4,"TestDescription","Chester Creek Trail"
"405",1555,"Mahaffey/APU","NPS","NPS",1.4,"TestDescription","Tour of Anchorage"
"406",1450,"Goose Lake Trail","NPS","NPS",1.4,"TestDescription",NA
"407",1150,"Beaver Pl. Trail","NPS","NPS",1.4,"TestDescription",NA
"408",1552,"Mahaffey/APU","NPS","NPS",1.4,"TestDescription","Tour of Anchorage"
"409",640,"Tank Trail","NPS","NPS",1.4,"TestDescription",NA
"410",-1,"Chester Creek Trail","NPS","NPS",1.4,"TestDescription","Chester Creek Trail"
"411",395,"Centennial","NPS","NPS",1.4,"TestDescription","Centennial Park Trails"
"412",397,"Centennial","NPS","NPS",1.4,"TestDescription","Centennial Park Trails"
"413",3722,"Upper Gasline Trail","NPS","NPS",1.4,"TestDescription","Hillside Ski Trails"
"414",400,"Centennial","NPS","NPS",1.4,"TestDescription","Centennial Park Trails"
"415",401,"Centennial","NPS","NPS",1.4,"TestDescription","Centennial Park Trails"
"416",402,"Centennial","NPS","NPS",1.4,"TestDescription","Centennial Park Trails"
"417",2087,"Old Three Mile Trail","NPS","NPS",1.4,"TestDescription",NA
"418",2228,"Rondy Cut Off Trail","NPS","NPS",1.4,"TestDescription",NA
"419",2228,"Rondy Cut Off Trail","NPS","NPS",1.4,"TestDescription",NA
"420",2228,"Rondy Cut Off Trail","NPS","NPS",1.4,"TestDescription",NA
"421",2052,"Outgoing Trail","NPS","NPS",1.4,"TestDescription",NA
"422",1932,"Outgoing Trail","NPS","NPS",1.4,"TestDescription",NA
"423",2066,"Outgoing Trail","NPS","NPS",1.4,"TestDescription",NA
"424",2228,"Rondy Cut Off Trail","NPS","NPS",1.4,"TestDescription",NA
"425",2295,"Homecoming/poleline","NPS","NPS",1.4,"TestDescription",NA
"426",549,"Tank Trail","NPS","NPS",1.4,"TestDescription",NA
"427",-3,"North Coastal Trail","NPS","NPS",1.4,"TestDescription","Coastal Trail"
"428",-3,"North Coastal Trail","NPS","NPS",1.4,"TestDescription","Coastal Trail"
"429",-3,"North Coastal Trail","NPS","NPS",1.4,"TestDescription","Coastal Trail"
"430",3388,"Dimond (North Side)","NPS","NPS",1.4,"TestDescription",NA
"431",-6,"Campbell Creek Trail","NPS","NPS",1.4,"TestDescription","Campbell Creek Trail"
"432",579,"Tank Trail","NPS","NPS",1.4,"TestDescription",NA
"433",3740,"Dimond (South Side)","NPS","NPS",1.4,"TestDescription",NA
"434",2958,"Raspberry Parking Lot Connector","NPS","NPS",1.4,"TestDescription","Kincaid Ski Trails"
"435",4264,"Alyeska Basin Subdivision Trails","NPS","NPS",1.4,"TestDescription","Girdwood Trails"
"436",1990,"Alyeska Highway Trail","NPS","NPS",1.4,"TestDescription","Girdwood Trails"
"437",-6,"Campbell Creek Trail","NPS","NPS",1.4,"TestDescription","Campbell Creek Trail"
"438",2599,"Campbell Creek Trail","NPS","NPS",1.4,"TestDescription","Campbell Creek Trail"
"439",3675,"The Burn Lighted Loop","NPS","NPS",1.4,"TestDescription","Hillside Ski Trails"
"440",4256,"Tiny Creek Trails","NPS","NPS",1.4,"TestDescription","Girdwood Trails"
"441",3977,"Old Seward Hwy. Trail","NPS","NPS",1.4,"TestDescription",NA
"442",3739,"Dimond (South Side)","NPS","NPS",1.4,"TestDescription",NA
"443",1885,"Campbell Creek Trail","NPS","NPS",1.4,"TestDescription","Campbell Creek Trail"
"444",1409,"Baxter Bog","NPS","NPS",1.4,"TestDescription",NA
"445",-2,"Coastal Trail","NPS","NPS",1.4,"TestDescription","Coastal Trail"
"446",1430,"Fish Creek","NPS","NPS",1.4,"TestDescription",NA
"447",1431,"Fish Creek","NPS","NPS",1.4,"TestDescription",NA
"448",1434,"Fish Creek","NPS","NPS",1.4,"TestDescription",NA
"449",1435,"Fish Creek","NPS","NPS",1.4,"TestDescription",NA
"450",-2,"Coastal Trail","NPS","NPS",1.4,"TestDescription","Coastal Trail"
"451",3311,"Jodhpur Loop","NPS","NPS",1.4,"TestDescription","Kincaid Ski Trails"
"452",3335,"Campbell Creek Trail","NPS","NPS",1.4,"TestDescription","Campbell Creek Trail"
"453",-2,"Coastal Trail","NPS","NPS",1.4,"TestDescription","Coastal Trail"
"454",-2,"Coastal Trail","NPS","NPS",1.4,"TestDescription","Coastal Trail"
"455",-1,"Chester Creek Trail","NPS","NPS",1.4,"TestDescription","Chester Creek Trail"
"456",-2,"Coastal Trail","NPS","NPS",1.4,"TestDescription","Coastal Trail"
"457",-1,"Chester Creek Trail","NPS","NPS",1.4,"TestDescription","Chester Creek Trail"
"458",-2,"Coastal Trail","NPS","NPS",1.4,"TestDescription","Coastal Trail"
"459",-2,"Coastal Trail","NPS","NPS",1.4,"TestDescription","Coastal Trail"
"460",-2,"Coastal Trail","NPS","NPS",1.4,"TestDescription","Coastal Trail"
"461",-1,"Chester Creek Trail","NPS","NPS",1.4,"TestDescription","Chester Creek Trail"
"462",3058,"Margauxs Loop","NPS","NPS",1.4,"TestDescription","Kincaid Ski Trails"
"463",1423,"Mahaffey/APU","NPS","NPS",1.4,"TestDescription",NA
"464",-1,"Chester Creek Trail","NPS","NPS",1.4,"TestDescription","Chester Creek Trail"
"465",-2,"Coastal Trail","NPS","NPS",1.4,"TestDescription","Coastal Trail"
"466",-6,"Campbell Creek Trail","NPS","NPS",1.4,"TestDescription","Campbell Creek Trail"
"467",4258,"Alyeska Highway Trail","NPS","NPS",1.4,"TestDescription","Girdwood Trails"
"468",-2,"Coastal Trail","NPS","NPS",1.4,"TestDescription","Coastal Trail"
"469",4260,"Alyeska Highway Trail","NPS","NPS",1.4,"TestDescription","Girdwood Trails"
"470",2958,"Raspberry Parking Lot Connector","NPS","NPS",1.4,"TestDescription","Kincaid Ski Trails"
"471",3401,"Old Seward Hwy. Trail","NPS","NPS",1.4,"TestDescription",NA
"472",403,"Centennial","NPS","NPS",1.4,"TestDescription","Centennial Park Trails"
"473",404,"Centennial","NPS","NPS",1.4,"TestDescription","Centennial Park Trails"
"474",405,"Centennial","NPS","NPS",1.4,"TestDescription","Centennial Park Trails"
"475",406,"Centennial","NPS","NPS",1.4,"TestDescription","Centennial Park Trails"
"476",407,"Centennial","NPS","NPS",1.4,"TestDescription","Centennial Park Trails"
"477",409,"Centennial","NPS","NPS",1.4,"TestDescription","Centennial Park Trails"
"478",419,"Centennial","NPS","NPS",1.4,"TestDescription","Centennial Park Trails"
"479",420,"Centennial","NPS","NPS",1.4,"TestDescription","Centennial Park Trails"
"480",421,"Centennial","NPS","NPS",1.4,"TestDescription","Centennial Park Trails"
"481",422,"Centennial","NPS","NPS",1.4,"TestDescription","Centennial Park Trails"
"482",423,"Centennial","NPS","NPS",1.4,"TestDescription","Centennial Park Trails"
"483",424,"Centennial","NPS","NPS",1.4,"TestDescription","Centennial Park Trails"
"484",425,"Centennial","NPS","NPS",1.4,"TestDescription","Centennial Park Trails"
"485",426,"Centennial","NPS","NPS",1.4,"TestDescription","Centennial Park Trails"
"486",427,"Centennial","NPS","NPS",1.4,"TestDescription","Centennial Park Trails"
"487",428,"Tank Trail","NPS","NPS",1.4,"TestDescription",NA
"488",429,"Tank Trail","NPS","NPS",1.4,"TestDescription",NA
"489",430,"Centennial","NPS","NPS",1.4,"TestDescription","Centennial Park Trails"
"490",431,"Centennial","NPS","NPS",1.4,"TestDescription","Centennial Park Trails"
"491",432,"Centennial","NPS","NPS",1.4,"TestDescription","Centennial Park Trails"
"492",433,"Centennial","NPS","NPS",1.4,"TestDescription","Centennial Park Trails"
"493",455,"Ship Creek","NPS","NPS",1.4,"TestDescription",NA
"494",3377,"Old Seward Hwy. Trail","NPS","NPS",1.4,"TestDescription",NA
"495",-6,"Campbell Creek Trail","NPS","NPS",1.4,"TestDescription","Campbell Creek Trail"
"496",4261,"Glacier Creek/iditarod Trail System","NPS","NPS",1.4,"TestDescription","Girdwood Trails"
"497",1775,"Fish Creek","NPS","NPS",1.4,"TestDescription",NA
"498",4306,"4.5km Loop","NPS","NPS",1.4,"TestDescription",NA
"499",4307,"4.5km Loop","NPS","NPS",1.4,"TestDescription",NA
"500",4309,"Lake Loop","NPS","NPS",1.4,"TestDescription","Kincaid Ski Trails"
"501",887,"Chester Creek Trail","NPS","NPS",1.4,"TestDescription","Chester Creek Trail"
"502",3240,"Jodhpur Loop","NPS","NPS",1.4,"TestDescription","Kincaid Ski Trails"
"503",2504,"Moose Ridge Trail","NPS","NPS",1.4,"TestDescription",NA
"504",4652,"Picket Spur Trail","NPS","NPS",1.4,"TestDescription",NA
"505",0,"Unnnamed","NPS","NPS",1.4,"TestDescription","Hillside Trail Sysyem"
"506",3731,"Dimond (North Side)","NPS","NPS",1.4,"TestDescription",NA
"507",0,"RABBIT CREEK PARK TRAIL","NPS","NPS",1.4,"TestDescription",NA
"508",4673,"Dimond (North Side)","NPS","NPS",1.4,"TestDescription",NA
"509",4257,"Preliminary Iditarod Realignment (2002)","NPS","NPS",1.4,"TestDescription","Girdwood Trails"
"510",-3,"North Coastal Trail","NPS","NPS",1.4,"TestDescription","Coastal Trail"
"511",2058,"Outgoing Trail","NPS","NPS",1.4,"TestDescription",NA
"512",-6,"Campbell Creek Trail","NPS","NPS",1.4,"TestDescription","Campbell Creek Trail"
"513",-6,"Campbell Creek Trail","NPS","NPS",1.4,"TestDescription","Campbell Creek Trail"
"514",4294,"Outgoing Trail","NPS","NPS",1.4,"TestDescription",NA
"515",3711,"Abbott Trail","NPS","NPS",1.4,"TestDescription","Abbott Trail"
"516",3739,"Dimond (South Side)","NPS","NPS",1.4,"TestDescription",NA
"517",3122,"Jodhpur Loop","NPS","NPS",1.4,"TestDescription","Kincaid Ski Trails"
"518",1660,"Margauxs Loop","NPS","NPS",1.4,"TestDescription","Kincaid Ski Trails"
"519",2181,"Old Rondy Trail","NPS","NPS",1.4,"TestDescription","Tour of Anchorage"
"520",2182,"Rondy Cut Off Trail","NPS","NPS",1.4,"TestDescription",NA
"521",2188,"Alex Sisson Loop","NPS","NPS",1.4,"TestDescription","Kincaid Ski Trails"
"522",1545,"Mahaffey/APU","NPS","NPS",1.4,"TestDescription","Tour of Anchorage"
"523",4125,"Upper Moen","NPS","NPS",1.4,"TestDescription",NA
"524",4140,"Little Rc Gully Route","NPS","NPS",1.4,"TestDescription",NA
"525",4143,"W Face Baldy","NPS","NPS",1.4,"TestDescription",NA
"526",4146,"Upper Moen","NPS","NPS",1.4,"TestDescription",NA
"527",3420,"Dimond (South Side)","NPS","NPS",1.4,"TestDescription",NA
"528",-6,"Campbell Creek Trail","NPS","NPS",1.4,"TestDescription","Campbell Creek Trail"
"529",3544,"Campbell Creek Trail","NPS","NPS",1.4,"TestDescription","Campbell Creek Trail"
"530",4454,"Viewpoint Trail","NPS","NPS",1.4,"TestDescription","Tour of Anchorage"
"531",4457,"North Gasline/powerline Trail","NPS","NPS",1.4,"TestDescription",NA
"532",-6,"Campbell Creek Trail","NPS","NPS",1.4,"TestDescription","Campbell Creek Trail"
"533",1643,"Beaver Dam Trail","NPS","NPS",1.4,"TestDescription",NA
"534",1645,"Campbell Creek Trail","NPS","NPS",1.4,"TestDescription","Campbell Creek Trail"
"535",4852,"Dimond (South Side)","NPS","NPS",1.4,"TestDescription",NA
"536",1758,"Fish Creek","NPS","NPS",1.4,"TestDescription",NA
"537",2958,"Raspberry Parking Lot Connector","NPS","NPS",1.4,"TestDescription","Kincaid Ski Trails"
"538",1997,"Campbell Creek Trail","NPS","NPS",1.4,"TestDescription","Campbell Creek Trail"
"539",4585,"Dimond (South Side)","NPS","NPS",1.4,"TestDescription",NA
"540",2879,"Margauxs Loop","NPS","NPS",1.4,"TestDescription","Kincaid Ski Trails"
"541",1668,"Biathalon Loop","NPS","NPS",1.4,"TestDescription","Kincaid Ski Trails"
"542",1671,"Lekisch Dark Alley","NPS","NPS",1.4,"TestDescription","Kincaid Ski Trails"
"543",1672,"Lekisch Loop","NPS","NPS",1.4,"TestDescription","Kincaid Ski Trails"
"544",1673,"Lekisch Loop","NPS","NPS",1.4,"TestDescription","Kincaid Ski Trails"
"545",1677,"Andrew Lekisch Trail","NPS","NPS",1.4,"TestDescription","Kincaid Ski Trails"
"546",1680,"Lekisch Loop","NPS","NPS",1.4,"TestDescription","Kincaid Ski Trails"
"547",1686,"Lekisch Loop","NPS","NPS",1.4,"TestDescription","Kincaid Ski Trails"
"548",1687,"Lekisch Loop","NPS","NPS",1.4,"TestDescription","Kincaid Ski Trails"
"549",-6,"Campbell Creek Trail","NPS","NPS",1.4,"TestDescription","Campbell Creek Trail"
"550",1705,"Baxter Bog","NPS","NPS",1.4,"TestDescription",NA
"551",1707,"Tank Trail","NPS","NPS",1.4,"TestDescription",NA
"552",1179,"Chester Creek Trail","NPS","NPS",1.4,"TestDescription",NA
"553",2141,"Campbell Creek Trail","NPS","NPS",1.4,"TestDescription","Campbell Creek Trail"
"554",1377,"Mahaffey/APU","NPS","NPS",1.4,"TestDescription",NA
"555",1466,"Tank Trail","NPS","NPS",1.4,"TestDescription",NA
"556",1202,"UAA Ski","NPS","NPS",1.4,"TestDescription",NA
"557",1203,"UAA Ski","NPS","NPS",1.4,"TestDescription","Tour of Anchorage"
"558",1641,"Campbell Creek Trail","NPS","NPS",1.4,"TestDescription","Campbell Creek Trail"
"559",1213,"Chester Creek Trail","NPS","NPS",1.4,"TestDescription",NA
"560",3060,"Margauxs Loop","NPS","NPS",1.4,"TestDescription","Kincaid Ski Trails"
"561",-6,"Campbell Creek Trail","NPS","NPS",1.4,"TestDescription","Campbell Creek Trail"
"562",2200,"Shield's Trail","NPS","NPS",1.4,"TestDescription",NA
"563",2203,"Rondy Cut Off Trail","NPS","NPS",1.4,"TestDescription",NA
"564",2208,"Shield's Trail","NPS","NPS",1.4,"TestDescription",NA
"565",2209,"Rondy Cut Off Trail","NPS","NPS",1.4,"TestDescription",NA
"566",2339,"Outgoing Trail","NPS","NPS",1.4,"TestDescription",NA
"567",2345,"Old Rondy Trail","NPS","NPS",1.4,"TestDescription","Tour of Anchorage"
"568",2352,"Outgoing Trail","NPS","NPS",1.4,"TestDescription",NA
"569",4612,"Main","NPS","NPS",1.4,"TestDescription","Connors Bog Skijor"
"570",1094,"Chester Creek Trail","NPS","NPS",1.4,"TestDescription","Chester Creek Trail"
"571",2358,"Homecoming/poleline","NPS","NPS",1.4,"TestDescription",NA
"572",2362,"Old Rondy Trail","NPS","NPS",1.4,"TestDescription","Tour of Anchorage"
"573",2376,"Arlene's Way","NPS","NPS",1.4,"TestDescription","Kincaid Ski Trails"
"574",-6,"Campbell Creek Trail","NPS","NPS",1.4,"TestDescription","Campbell Creek Trail"
"575",2168,"Peanut Farm","NPS","NPS",1.4,"TestDescription","Campbell Creek Trail"
"576",2578,"4.5km Loop Trail","NPS","NPS",1.4,"TestDescription",NA
"577",2579,"Inner Loop Trail","NPS","NPS",1.4,"TestDescription",NA
"578",2581,"Arlene's Way","NPS","NPS",1.4,"TestDescription","Kincaid Ski Trails"
"579",2792,"Alex Sisson Loop","NPS","NPS",1.4,"TestDescription","Kincaid Ski Trails"
"580",2794,"Mize Loop","NPS","NPS",1.4,"TestDescription","Kincaid Ski Trails"
"581",2796,"Homecoming/poleline","NPS","NPS",1.4,"TestDescription",NA
"582",2797,"2.5 Km Loop","NPS","NPS",1.4,"TestDescription",NA
"583",-2,"Coastal Trail","NPS","NPS",1.4,"TestDescription","Coastal Trail"
"584",1675,"Margauxs Loop","NPS","NPS",1.4,"TestDescription","Kincaid Ski Trails"
"585",2820,"Margauxs Loop","NPS","NPS",1.4,"TestDescription","Kincaid Ski Trails"
"586",3273,"Jodhpur Loop","NPS","NPS",1.4,"TestDescription","Kincaid Ski Trails"
"587",3693,"Abbott Trail","NPS","NPS",1.4,"TestDescription","Abbott Trail"
"588",-6,"Campbell Creek Trail","NPS","NPS",1.4,"TestDescription","Campbell Creek Trail"
"589",1607,"Tour Of Anchorage","NPS","NPS",1.4,"TestDescription","Tour of Anchorage"
"590",1626,"Tank Trail","NPS","NPS",1.4,"TestDescription",NA
"591",1628,"Tank Trail","NPS","NPS",1.4,"TestDescription",NA
"592",1630,"Tour Of Anchorage","NPS","NPS",1.4,"TestDescription","Tour of Anchorage"
"593",-6,"Campbell Creek Trail","NPS","NPS",1.4,"TestDescription","Campbell Creek Trail"
"594",1634,"Outgoing Trail","NPS","NPS",1.4,"TestDescription",NA
"595",1505,"Mahaffey/APU","NPS","NPS",1.4,"TestDescription","Tour of Anchorage"
"596",1453,"Mahaffey/APU","NPS","NPS",1.4,"TestDescription","Tour of Anchorage"
"597",-6,"Campbell Creek Trail","NPS","NPS",1.4,"TestDescription","Campbell Creek Trail"
"598",-6,"Campbell Creek Trail","NPS","NPS",1.4,"TestDescription","Campbell Creek Trail"
"599",2409,"Beaver Dam Trail","NPS","NPS",1.4,"TestDescription",NA
"600",2411,"Homecoming/poleline","NPS","NPS",1.4,"TestDescription",NA
"601",2413,"Arlene's Way","NPS","NPS",1.4,"TestDescription","Kincaid Ski Trails"
"602",2414,"Sisson Loop","NPS","NPS",1.4,"TestDescription","Kincaid Ski Trails"
"603",2711,"Lake Loop","NPS","NPS",1.4,"TestDescription","Kincaid Ski Trails"
"604",2712,"Mize Loop","NPS","NPS",1.4,"TestDescription","Kincaid Ski Trails"
"605",2714,"4.5km Loop","NPS","NPS",1.4,"TestDescription",NA
"606",-6,"Campbell Creek Trail","NPS","NPS",1.4,"TestDescription","Campbell Creek Trail"
"607",2862,"North Gasline/powerline Trail","NPS","NPS",1.4,"TestDescription",NA
"608",2865,"Mize Loop","NPS","NPS",1.4,"TestDescription","Kincaid Ski Trails"
"609",2876,"Mize Loop","NPS","NPS",1.4,"TestDescription","Kincaid Ski Trails"
"610",2300,"Alex Sisson Loop","NPS","NPS",1.4,"TestDescription","Kincaid Ski Trails"
"611",2301,"Maximilian","NPS","NPS",1.4,"TestDescription",NA
"612",2969,"The Football","NPS","NPS",1.4,"TestDescription","Kincaid Ski Trails"
"613",2970,"The Football","NPS","NPS",1.4,"TestDescription","Kincaid Ski Trails"
"614",2974,"Airstrip Loop","NPS","NPS",1.4,"TestDescription",NA
"615",4013,"Ballfield","NPS","NPS",1.4,"TestDescription",NA
"616",4014,"Glen Alps/ Middle Fork","NPS","NPS",1.4,"TestDescription",NA
"617",4018,"Flattop","NPS","NPS",1.4,"TestDescription",NA
"618",4124,"Payne Path","NPS","NPS",1.4,"TestDescription",NA
"619",1369,"Goose Lake Trail","NPS","NPS",1.4,"TestDescription",NA
"620",1974,"Biathalon Loop","NPS","NPS",1.4,"TestDescription","Kincaid Ski Trails"
"621",1976,"Junkyard Hill","NPS","NPS",1.4,"TestDescription","Kincaid Ski Trails"
"622",3066,"Margauxs Loop","NPS","NPS",1.4,"TestDescription","Kincaid Ski Trails"
"623",1269,"UAA Ski","NPS","NPS",1.4,"TestDescription","Tour of Anchorage"
"624",912,"Tikishla Park Trail","NPS","NPS",1.4,"TestDescription",NA
"625",-1,"Chester Creek Trail","NPS","NPS",1.4,"TestDescription","Chester Creek Trail"
"626",988,"Sullivan Nature Trail","NPS","NPS",1.4,"TestDescription","Chester Creek Trail"
"627",996,"Sullivan Nature Trail","NPS","NPS",1.4,"TestDescription","Chester Creek Trail"
"628",1000,"Tikishla Park Trail","NPS","NPS",1.4,"TestDescription",NA
"629",1002,"Tikishla Park Trail","NPS","NPS",1.4,"TestDescription",NA
"630",508,"Chester Creek Trail","NPS","NPS",1.4,"TestDescription","Chester Creek Trail"
"631",4363,"Margauxs Loop","NPS","NPS",1.4,"TestDescription","Kincaid Ski Trails"
"632",1497,"Mahaffey/APU","NPS","NPS",1.4,"TestDescription","Tour of Anchorage"
"633",3525,"Besh Lighted Loop","NPS","NPS",1.4,"TestDescription","Hillside Ski Trails"
"634",3504,"Besh Lighted Loop","NPS","NPS",1.4,"TestDescription","Hillside Ski Trails"
"635",-1,"Chester Creek Trail","NPS","NPS",1.4,"TestDescription","Chester Creek Trail"
"636",-1,"Chester Creek Trail","NPS","NPS",1.4,"TestDescription","Chester Creek Trail"
"637",-1,"Chester Creek Trail","NPS","NPS",1.4,"TestDescription","Chester Creek Trail"
"638",-1,"Chester Creek Trail","NPS","NPS",1.4,"TestDescription","Chester Creek Trail"
"639",1162,"Tank Trail","NPS","NPS",1.4,"TestDescription",NA
"640",-2,"Coastal Trail","NPS","NPS",1.4,"TestDescription","Coastal Trail"
"641",1754,"Fish Creek","NPS","NPS",1.4,"TestDescription",NA
"642",4964,"Main","NPS","NPS",1.4,"TestDescription","Connors Bog Skijor"
"643",3283,"Ice Box","NPS","NPS",1.4,"TestDescription","Kincaid Ski Trails"
"644",1486,"Fish Creek","NPS","NPS",1.4,"TestDescription",NA
"645",1487,"Fish Creek","NPS","NPS",1.4,"TestDescription",NA
"646",1492,"Tank Trail","NPS","NPS",1.4,"TestDescription",NA
"647",1501,"Fish Creek","NPS","NPS",1.4,"TestDescription",NA
"648",2930,"Margauxs Loop","NPS","NPS",1.4,"TestDescription","Kincaid Ski Trails"
"649",1978,"South Fork Rim","NPS","NPS",1.4,"TestDescription",NA
"650",1981,"South Fork Rim","NPS","NPS",1.4,"TestDescription",NA
"651",1986,"Denali View","NPS","NPS",1.4,"TestDescription",NA
"652",1987,"Beaver Pond Trail","NPS","NPS",1.4,"TestDescription","Girdwood Trails"
"653",1988,"Virgin Creek Trail System","NPS","NPS",1.4,"TestDescription","Girdwood Trails"
"654",1989,"Beaver Pond Trail","NPS","NPS",1.4,"TestDescription","Girdwood Trails"
"655",2030,"Campbell Creek Trail","NPS","NPS",1.4,"TestDescription","Campbell Creek Trail"
"656",-2,"Coastal Trail","NPS","NPS",1.4,"TestDescription","Coastal Trail"
"657",-2,"Coastal Trail","NPS","NPS",1.4,"TestDescription","Coastal Trail"
